id,region,lga,ward,pump_age,extraction_type,quantity,p_non_functional,predicted_status,population_est,priority_score,action,priority_tier
418,Rukwa,Mpanda,Nsimbo,1.0,other,enough,0.9117,non functional,9000.0,8205.3,2. Remplacement,P1
16129,Ruvuma,Songea Urban,Ruvuma,6.0,india mark ii,seasonal,0.8345,non functional,7500.0,6258.8,3. Réparation,P1
24223,Mara,Tarime,Matongo,18.0,other,enough,0.8426,non functional,7000.0,5898.2,2. Remplacement,P1
10968,Ruvuma,Songea Urban,Ruvuma,4.0,gravity,dry,0.6606,non functional,7500.0,4954.5,1. Étude hydrogéologique,P1
3388,Ruvuma,Songea Urban,Ruvuma,4.0,gravity,dry,0.6601,non functional,7500.0,4950.8,1. Étude hydrogéologique,P1
46120,Kigoma,Kigoma Urban,Gungu,28.0,other,dry,0.9487,non functional,5212.0,4944.6,1. Étude hydrogéologique,P1
68984,Kigoma,Kigoma Urban,Mwanga Kaskazini,23.0,other,enough,0.7813,non functional,6300.0,4922.2,2. Remplacement,P1
65782,Pwani,Bagamoyo,Msata,25.0,ksb,insufficient,0.9182,non functional,5000.0,4591.0,2. Remplacement,P1
44743,Pwani,Mkuranga,Mkuranga,1.0,other,enough,0.8395,non functional,4782.0,4014.5,2. Remplacement,P1
12772,Kigoma,Kasulu,Kitanga,19.0,other,enough,0.879,non functional,4500.0,3955.5,2. Remplacement,P1
56530,Pwani,Bagamoyo,Mkange,36.0,other,enough,0.9779,non functional,3770.0,3686.7,2. Remplacement,P1
59976,Iringa,Iringa Rural,Kalenga,27.0,gravity,dry,0.7211,non functional,4900.0,3533.4,1. Étude hydrogéologique,P1
29811,Mara,Serengeti,Machochwe,27.0,nira/tanira,insufficient,0.468,functional,7200.0,3369.6,4. Inspection de contrôle,P1
16270,Pwani,Mkuranga,Kisiju,31.0,other,insufficient,0.8836,non functional,3600.0,3181.0,2. Remplacement,P1
37938,Kigoma,Kigoma Urban,Gungu,3.0,submersible,seasonal,0.638,non functional,4656.0,2970.5,3. Réparation,P1
4584,Lindi,Ruangwa,Likunja,,other,enough,0.918,non functional,3220.0,2956.0,2. Remplacement,P1
57337,Pwani,Mkuranga,Mkuranga,8.0,india mark iii,enough,0.6701,non functional,4280.0,2868.0,3. Réparation,P1
23285,Kigoma,Kigoma Urban,Buhanda businde,40.0,other,dry,0.9455,non functional,3020.0,2855.4,1. Étude hydrogéologique,P1
46606,Mara,Serengeti,Rung'bure,18.0,swn 80,enough,0.6586,non functional,4000.0,2634.4,3. Réparation,P1
904,Pwani,Bagamoyo,Lugoba,27.0,other,enough,0.9821,non functional,2600.0,2553.5,2. Remplacement,P1
12708,Pwani,Mkuranga,Vikindu,7.0,other,dry,0.6985,non functional,3600.0,2514.6,1. Étude hydrogéologique,P1
47834,Morogoro,Kilosa,Magubike,27.0,ksb,insufficient,0.6231,non functional,4000.0,2492.4,2. Remplacement,P1
1081,Tanga,Handeni,Kang'ata,33.0,other,enough,0.8254,non functional,3000.0,2476.2,2. Remplacement,P1
13433,Kigoma,Kigoma Rural,Sunuka,14.0,other,enough,0.9859,non functional,2500.0,2464.8,2. Remplacement,P1
12657,Kigoma,Kigoma Urban,Buhanda businde,33.0,other,dry,0.9463,non functional,2554.0,2416.9,1. Étude hydrogéologique,P1
29355,Kigoma,Kigoma Urban,Gungu,4.0,nira/tanira,enough,0.5024,non functional,4656.0,2339.2,4. Inspection de contrôle,P1
12407,Pwani,Bagamoyo,Kiwangwa,5.0,nira/tanira,enough,0.6708,non functional,3400.0,2280.7,3. Réparation,P1
27287,Mara,Tarime,Nyamwaga,23.0,gravity,enough,0.9113,non functional,2500.0,2278.2,2. Remplacement,P1
48134,Mara,Serengeti,Kisangura,16.0,other - swn 81,enough,0.3676,functional,6000.0,2205.6,4. Inspection de contrôle,P1
22708,Rukwa,Sumbawanga Urban,Mollo,28.0,other,dry,0.9429,non functional,2300.0,2168.7,1. Étude hydrogéologique,P1
1131,Iringa,Iringa Rural,Kalenga,27.0,gravity,dry,0.7557,non functional,2800.0,2116.0,1. Étude hydrogéologique,P1
73414,Kigoma,Kasulu,Nyamidaho,17.0,nira/tanira,enough,0.4615,functional,4521.0,2086.4,4. Inspection de contrôle,P1
39122,Kigoma,Kigoma Rural,Matendo,28.0,gravity,insufficient,0.9117,non functional,2250.0,2051.3,2. Remplacement,P1
26191,Mwanza,Ukerewe,Murutunguru,37.0,other,insufficient,0.9943,non functional,2000.0,1988.6,2. Remplacement,P1
68349,Kigoma,Kasulu,Rungwe Mpya,24.0,swn 80,enough,0.8257,non functional,2400.0,1981.7,2. Remplacement,P1
24064,Kigoma,Kigoma Rural,Ilagala,5.0,other,dry,0.9864,non functional,2000.0,1972.8,1. Étude hydrogéologique,P1
34672,Kigoma,Kigoma Urban,Buhanda businde,40.0,other,dry,0.9603,non functional,2030.0,1949.4,1. Étude hydrogéologique,P1
42016,Pwani,Mkuranga,Kimanzichana,2.0,other,insufficient,0.7785,non functional,2500.0,1946.2,2. Remplacement,P1
67020,Pwani,Bagamoyo,Ubenazamozi,16.0,other,enough,0.9722,non functional,2000.0,1944.4,2. Remplacement,P1
